n_samples,n_positive,n_negative,roc_auc,pr_auc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn,fold_id
6877,1797,5080,0.9469206113426138,0.8829452624980758,0.9003926130580194,0.771841958820256,0.9458661417322834,0.801965886094247,1387,4805,275,410,0
6764,1360,5404,0.9341084490791136,0.8405368630673876,0.9115907746895329,0.7544117647058823,0.9511472982975574,0.7743396226415094,1026,5140,264,334,1
6662,1520,5142,0.9490616491637495,0.8698077030196018,0.924647253077154,0.8467105263157895,0.9476857253986776,0.8368010403120936,1287,4873,269,233,2
7677,2451,5226,0.9350128184049156,0.879304066219461,0.8716946723980722,0.7180742554059567,0.9437428243398392,0.7813540510543839,1760,4932,294,691,3
6920,1597,5323,0.9485179743015711,0.8946001050034372,0.9397398843930636,0.8653725735754539,0.9620514747322938,0.8689091480666457,1382,5121,202,215,4
