gene_symbol,mean_coef,median_coef,abs_mean_coef,nonzero_frac,in_clingen_hcvd
LCP1,-0.20791633,-0.20823842,0.20791633,1.0,False
KCNH2,-0.20776936,-0.25748712,0.20776936,0.8,True
RPL3P4,0.20654435,0.20266546,0.20654435,1.0,False
MDFI,-0.20565894,-0.21679054,0.20565894,1.0,False
CD74,-0.20491989,-0.2040171,0.20491989,1.0,False
FOS,-0.20345028,-0.19788074,0.20345028,1.0,False
CRIP2,0.20333838,0.18794118,0.20333838,1.0,False
COL18A1,-0.20310917,-0.1847854,0.20310917,1.0,False
FOXA1,0.20301566,0.23942721,0.20301566,1.0,False
ITGB2,-0.20294742,-0.21637574,0.20294742,1.0,False
HEPH,0.20292082,0.2072025,0.20292082,1.0,False
ACTN1,0.2020208,0.21715428,0.2020208,1.0,False
PTGDS,0.20139048,0.19188252,0.20139048,1.0,False
SEMA3C,0.2008461,0.19142964,0.2008461,1.0,False
VARS1,-0.20055974,-0.19648601,0.20055974,1.0,False
LGALS1,0.2003982,0.21642129,0.2003982,1.0,False
COL12A1,-0.20004924,-0.22029795,0.20004924,1.0,False
DSC2,0.19989397,0.20291252,0.19989397,1.0,True
PLS3,0.19978559,0.21123302,0.19978559,1.0,False
LAMB3,-0.19954054,-0.18177338,0.19954054,1.0,False
EDIL3,-0.1991409,-0.18888173,0.1991409,1.0,False
MYH6,0.19872762,0.22957766,0.19872762,1.0,False
GNG11,0.19826028,0.17494406,0.19826028,1.0,False
PDK4,0.19816113,0.20043857,0.19816113,1.0,False
KIF20A,0.19783702,0.17504723,0.19783702,1.0,False
MXRA5,-0.19723213,-0.15310197,0.19723213,1.0,False
TFAP2A,0.19681716,0.18600836,0.19681716,1.0,False
PTPRF,0.19641086,0.20490493,0.19641086,1.0,False
FYB1,-0.19619739,-0.21532606,0.19619739,1.0,False
MS4A6A,-0.19606975,-0.19188093,0.19606975,1.0,False
MBOAT7,0.19575933,0.20710774,0.19575933,1.0,False
SYNPO,0.19570193,0.19128634,0.19570193,1.0,False
TEAD4,-0.19545245,-0.20712444,0.19545245,1.0,False
ADGRL4,0.19494084,0.20043708,0.19494084,1.0,False
EPB41L3,0.19476117,0.17368531,0.19476117,1.0,False
ATP13A3,0.19459857,0.21419367,0.19459857,1.0,False
NFIB,0.19261266,0.1976475,0.19261266,1.0,False
GPR176,0.19214013,0.17253458,0.19214013,1.0,False
MCM2,-0.19200209,-0.20473903,0.19200209,1.0,False
ALOX5,0.19127807,0.17013794,0.19127807,1.0,False
CYBA,0.19081107,0.17695263,0.19081107,1.0,False
THBS1,-0.19047709,-0.20768823,0.19047709,1.0,False
SERPINE2,0.19041197,0.19384333,0.19041197,1.0,False
HEG1,0.19040623,0.17294925,0.19040623,1.0,False
IL10RA,-0.18850574,-0.18400435,0.18850574,1.0,False
RND3,0.18816781,0.1860027,0.18816781,1.0,False
POSTN,0.18795326,0.19376567,0.18795326,1.0,False
ALPK3,0.1870469,0.13868085,0.1870469,1.0,False
AIF1,0.18701467,0.18421876,0.18701467,1.0,False
NREP,-0.18693338,-0.20477086,0.18693338,0.8,False
AGR2,-0.18627515,-0.1951946,0.18627515,1.0,False
TMEM132A,-0.18589154,-0.19433844,0.18589154,1.0,False
SOX9,0.18565388,0.18180622,0.18565388,1.0,False
FGD3,-0.18496427,-0.17837468,0.18496427,1.0,False
COTL1,0.18407705,0.20359659,0.18407705,1.0,False
FCGRT,0.18398352,0.17190807,0.18398352,1.0,False
ANGPTL2,0.18395361,0.20168333,0.18395361,1.0,False
CSF3R,-0.1828732,-0.1914273,0.1828732,1.0,False
CALR,-0.18276444,-0.2759632,0.18276444,0.6,False
CYFIP1,0.18248348,0.17542794,0.18248348,1.0,False
SAMD9L,-0.18176046,-0.18702534,0.18176046,1.0,False
CD53,-0.1815813,-0.16697161,0.1815813,1.0,False
MAGI1,-0.18125236,-0.12831719,0.18125236,1.0,False
B4GALNT4,0.18082,0.1902843,0.18082,1.0,False
APLP2,0.17989469,0.18578696,0.17989469,1.0,False
ADGRG1,-0.17971149,-0.18280621,0.17971149,1.0,False
RPS4X,-0.17875864,-0.14622608,0.17875864,1.0,False
RN7SL4P,-0.17841324,-0.22088657,0.17841324,0.8,False
STC1,-0.17819425,-0.17240544,0.17819425,1.0,False
TNFRSF14,-0.1778259,-0.19195722,0.1778259,1.0,False
MYO1F,-0.17714539,-0.15369426,0.17714539,1.0,False
PTGS2,-0.17699827,-0.16448542,0.17699827,1.0,False
BCAR1,0.17685774,0.15701605,0.17685774,1.0,False
CCND2,0.17642437,0.20671073,0.17642437,1.0,False
HLA-B,0.17633387,0.19693278,0.17633387,1.0,False
ALOX5AP,-0.1744744,-0.16299087,0.1744744,1.0,False
NTN4,0.17435737,0.19341148,0.17435737,1.0,False
ADCY6,0.17432685,0.17820911,0.17432685,1.0,False
DCBLD2,-0.17411776,-0.1582364,0.17411776,1.0,False
FDFT1,0.17410651,0.16751306,0.17410651,1.0,False
HSPA1B,0.17410097,0.17873281,0.17410097,1.0,False
ABLIM3,0.17397468,0.16413504,0.17397468,1.0,False
NBEAL2,-0.17375596,-0.17943133,0.17375596,1.0,False
LGALS9,0.17365599,0.16164903,0.17365599,1.0,False
GMFG,0.17323972,0.13782735,0.17323972,1.0,False
SCARNA2,-0.17260994,-0.15569386,0.17260994,1.0,False
SLC40A1,0.17250703,0.16623798,0.17250703,1.0,False
SMARCB1,-0.17227452,-0.19562729,0.17227452,1.0,False
PARVG,-0.17203295,-0.17618106,0.17203295,1.0,False
ACTC1,-0.17196493,-0.18402424,0.17196493,1.0,True
CRIM1,0.17176129,0.14952825,0.17176129,1.0,False
SFRP1,0.1716206,0.16787921,0.1716206,1.0,False
COL8A1,-0.17125754,-0.19209673,0.17125754,1.0,False
G0S2,0.17104438,0.17395937,0.17104438,1.0,False
COL5A2,-0.17065689,-0.15503061,0.17065689,1.0,False
PUF60,-0.1705844,-0.18848766,0.1705844,1.0,False
PMP22,-0.17039406,-0.15561971,0.17039406,1.0,False
CEP170B,0.17031096,0.14255017,0.17031096,1.0,False
EGFR,-0.16979444,-0.11605389,0.16979444,1.0,False
LAMA4,-0.1690853,-0.17211148,0.1690853,1.0,False
ITGAV,-0.16907457,-0.17719008,0.16907457,1.0,False
ENSG00000289754,0.16899052,0.14238387,0.16899052,1.0,False
FCGR3B,-0.1688585,-0.16876917,0.1688585,1.0,False
CD151,0.16860966,0.1623769,0.16860966,1.0,False
PTPRG,0.16860063,0.15935816,0.16860063,1.0,False
AHNAK,0.16800982,0.1658648,0.16800982,1.0,False
KDM5D,-0.16787472,-0.15740004,0.16787472,1.0,False
TANC1,-0.16755143,-0.14945436,0.16755143,1.0,False
ENSG00000202198,0.16750112,0.17048559,0.16750112,1.0,False
MT-TP,-0.16747865,-0.1791095,0.16747865,1.0,False
MT-ND5,0.16743934,0.20906442,0.16743934,1.0,False
ALPL,0.16721538,0.1751758,0.16721538,1.0,False
CSF1R,0.16718796,0.15051226,0.16718796,1.0,False
PRSS23,0.166904,0.20431711,0.166904,1.0,False
DLST,-0.16632228,-0.1808943,0.16632228,1.0,False
HSPB6,0.16613634,0.13805428,0.16613634,1.0,False
MKI67,-0.16554447,-0.1493042,0.16554447,1.0,False
NT5DC2,-0.16534813,-0.1425904,0.16534813,1.0,False
ENSG00000203396,-0.1642787,-0.1044784,0.1642787,0.8,False
CLIC4,-0.16393329,-0.16653825,0.16393329,1.0,False
THY1,-0.16359392,-0.11876537,0.16359392,1.0,False
VAV1,0.16354711,0.19354789,0.16354711,1.0,False
ITGBL1,-0.16328542,-0.1383111,0.16328542,1.0,False
TNFRSF12A,-0.16320078,-0.16069059,0.16320078,1.0,False
MAP1A,-0.16291165,-0.15720156,0.16291165,1.0,False
GATA6,0.16283658,0.14907801,0.16283658,1.0,False
SPTAN1,-0.16247526,-0.15697555,0.16247526,1.0,False
SERPINB2,-0.16239801,-0.15600426,0.16239801,1.0,False
FAM171A1,-0.16067225,-0.13887335,0.16067225,1.0,False
TUSC3,-0.16038063,-0.17720874,0.16038063,1.0,False
PLN,0.15963945,0.13244642,0.15963945,1.0,True
GRK2,0.15918295,0.1649597,0.15918295,1.0,False
ACTA1,-0.15909937,-0.17995025,0.15909937,0.8,False
ISY1-RAB43,0.15898025,0.14121702,0.15898025,1.0,False
APOE,-0.15889724,-0.1233148,0.15889724,1.0,False
MASP1,-0.15876794,-0.16090658,0.15876794,0.8,False
RPPH1,0.15815796,0.17067213,0.15815796,1.0,False
CDC42BPA,-0.15802625,-0.16259332,0.15802625,1.0,False
NORAD,0.15790278,0.15295172,0.15790278,1.0,False
PTEN,0.15779077,0.14678353,0.15779077,1.0,False
SGCD,-0.15735482,-0.10553472,0.15735482,0.8,False
